55.683805,37.4909733,89,"Удальцова 42, Супермаркет ""Перекресток"" ТЦ Магнит"""
55.3137473,38.639408,90,"ул. Фединская, д. 1, Воскресенский район, с.Федино"
55.8887135,37.4335269,91,"Химки, Ленинградское ш. вл. 5, ТЦ ""ЛИГА"", гипермаркет ""КАРУСЕЛЬ"""
55.8945063,37.4489189,92,"Химки, ул. Московская 14, Супермаркет АТАК"
55.7770764,37.5237091,93,"Хорошёвское 27, ТРЦ ""Хорошо!"""
55.7680225,37.6235077,94,"Цветной 2С, под 4, БЦ ""Легенда Цветного"""
55.7712977,37.6186318,95,"Цветной бул. 15, ТЦ Цветной"
55.8988383,37.5851667,96,"Череповецкая 17, Перекресток"
55.1615646,37.4682613,97,"Чехов, Симферопольское 1, Гипермаркет ""Карусель"""
55.8033911,37.61883,98,"Шереметьевская 20а, ТЦ ""Капитолий"""
55.887707,37.6785064,99,"Широкая 31, Супермаркет ""BILLA"""
55.7457148,37.6737266,100,"Школьная 1, ТРЦ «Спутник»"
55.9294982,38.0040079,101,"Щелково, Пролетарский 18, Гипермаркет ""GLOBUS"""
55.4988952,37.567817,102,"Щербинка, Железнодорожная 44, ТЦ Акварель"
55.8094971,37.4645058,103,"Щукинская 42, ТРК «Щука»"
55.7971611,38.4301466,104,"Электросталь, Ногинское ш. 2, АТАК"
55.8046725,38.9742991,105,"Якова Флиера, д. 4, ТЦ ""Капитолий"""
55.7386329,37.4111005,106,"Ярцевская 19, ТЦ ""Кунцево Плаза"" (-1 этаж)"
